Year;Actual gross;Adjusted gross (in 2022 dollar);Artist;Tour title;Shows
1987;$35,000,000;$90,155,243;U2;The Joshua Tree Tour;79
1989;$98,000,000;$231,358,926;The Rolling Stones;Steel Wheels Tour;60
1990;$74,100,000;$165,979,470;New Kids on the Block;The Magic Summer Tour;152
1991;$34,700,000;$74,554,557;Grateful Dead;Grateful Dead Summer Tour;76
1992;$67,000,000;$139,719,706;U2;Zoo TV Tour;73
1993;$45,600,000;$92,376,503;Grateful Dead;Grateful Dead Tour 1993;81
1994;$121,200,000;$239,297,890;The Rolling Stones;Voodoo Lounge Tour;60
1995;$63,300,000;$121,568,072;Eagles;Hell Freezes Over Tour;58
1996;$43,600,000;$81,353,363;Kiss;Alive/Worldwide Tour;92
1997;$138,500,000;$252,481,136;U2;PopMart Tour;78
1998;$193,350,000;$347,145,753;The Rolling Stones;Bridges to Babylon Tour;82
1999;$89,200,000;$156,696,924;The Rolling Stones;No Security Tour;45
2000;$122,500,000;$208,167,150;Tina Turner;Twenty Four Seven Tour;108
2001;$143,000,000;$236,335,651;U2;Elevation Tour;113
2002;$126,100,000;$205,166,216;Paul McCartney;Driving World Tour;58
2003;$299,520,230;$476,479,903;The Rolling Stones;Licks Tour;115
2004;$125,000,000;$193,666,314;Madonna;Re-Invention World Tour;56
2005;$260,000,000;$389,579,145;U2;Vertigo Tour;90
2006;$425,100,000;$617,089,700;The Rolling Stones;A Bigger Bang Tour;110
2007;$212,227,302;$299,522,852;The Police;The Police Reunion Tour;66
2008;$281,600,000;$382,749,675;Madonna;Sticky & Sweet Tour;58
2009;$311,637,730;$425,087,979;U2;U2 360° Tour;44
2010;$201,100,000;$269,872,333;Bon Jovi;The Circle Tour;80
2011;$293,281,487;$381,526,242;U2;U2 360° Tour;44
2012;$305,158,363;$388,978,496;Madonna;The MDNA Tour;88
2013;$259,500,000;$326,006,143;Bon Jovi;Because We Can;102
2014;$290,000,000;$358,484,678;One Direction;Where We Are Tour;69
2015;$250,733,097;$309,553,117;Taylor Swift;The 1989 World Tour;85
2016;$268,300,000;$327,153,383;Bruce Springsteen and the E Street Band;The River Tour;76
2017;$316,990,940;$378,443,976;U2;The Joshua Tree Tour 2017;50
2018;$432,400,000;$503,912,748;Ed Sheeran;÷ Tour;94
2019;$215,200,000;$246,318,990;Pink;Beautiful Trauma World Tour;68
2020;$87,100,000;$87,100,000;Elton John;Farewell Yellow Brick Road;38
2021;$115,500,000;$124,733,759;The Rolling Stones;No Filter Tour;12
2022;$342,192,313;$342,192,313;Coldplay;Music of the Spheres World Tour;64
